Name,Price,Date
Bitcoin Price (BTC - USD),"20,801.2110",2023-01-14 19:21:48.432809
Bitcoin Price (BTC - USD),"20,801.2110",2023-01-14 19:21:48.432809
Bitcoin Price (BTC - USD),"20,818.9639","14-01-2023, 19:22:41"
Bitcoin Price (BTC - USD),"20,818.9639","14-01-2023, 19:27:42"
Bitcoin Price (BTC - USD),"20,818.9639","14-01-2023, 19:32:42"
Bitcoin Price (BTC - USD),"20,836.8452","14-01-2023, 19:37:44"
Bitcoin Price (BTC - USD),"20,836.8452","14-01-2023, 19:46:15"
Bitcoin Price (BTC - USD),"20,860.1379","14-01-2023, 19:51:16"
Bitcoin Price (BTC - USD),"20,860.1379","14-01-2023, 19:56:16"
Bitcoin Price (BTC - USD),"20,802.1523","14-01-2023, 20:01:16"
Bitcoin Price (BTC - USD),"20,802.1523","14-01-2023, 20:06:17"
Bitcoin Price (BTC - USD),"20,802.1523","14-01-2023, 20:10:55"
Bitcoin Price (BTC - USD),"20,750.2337","14-01-2023, 20:20:56"
Bitcoin Price (BTC - USD),"20,750.2337","14-01-2023, 20:30:56"
Bitcoin Price (BTC - USD),"20,723.1263","14-01-2023, 20:40:57"
Bitcoin Price (BTC - USD),"20,733.8512","14-01-2023, 20:50:57"
Bitcoin Price (BTC - USD),"20,733.8512","14-01-2023, 21:00:57"
Bitcoin Price (BTC - USD),"20,743.3117","14-01-2023, 21:10:57"
Bitcoin Price (BTC - USD),"20,743.3117","14-01-2023, 21:20:58"
Bitcoin Price (BTC - USD),"20,756.4337","14-01-2023, 21:30:58"
Bitcoin Price (BTC - USD),"20,788.7445","14-01-2023, 21:40:58"
